Timestamp,Price
2023-11-19,36582.36844192274
2023-11-20,37413.99460790531
2023-11-21,37489.298470802016
2023-11-22,35965.36036068078
2023-11-23,37464.83293220907
2023-11-24,37293.316127426726
2023-11-25,37738.93169747125
2023-11-26,37809.85286625321
2023-11-27,37491.838186008135
2023-11-28,37250.16905148115
2023-11-29,37802.23604377473
2023-11-30,37810.34641654128
2023-12-01,37711.81837585267
2023-12-02,38688.25874179069
2023-12-03,39481.666416062864
2023-12-04,39960.275420410515
2023-12-05,41974.331772543344
2023-12-06,44105.94477259938
2023-12-07,43788.28880825234
2023-12-08,43270.11955970747
2023-12-09,44202.17610943621
2023-12-10,43745.49199189547
2023-12-11,43757.959937619176
2023-12-12,41200.96272610168
2023-12-13,41450.819387377436
2023-12-14,42931.76182603245
2023-12-15,43009.5954563739
2023-12-16,41992.01418722399
2023-12-17,42247.06788172229
2023-12-18,41410.819634575855
2023-12-19,42684.182554683386
